,player_name,player_url,teams,matches_played,runs_scored,hundreds,fifties,wickets,economy_rate,five_wicket_hauls,player_country,player_image,player_role,player_DOB,player_bat_hand,player_bowl_hand
258,Kieron Pollard,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3465,Mumbai Indians,189,3412,0,16,69,8.77,0,West Indies,https://h.cricapi.com/img/players/0c820e90-aaba-477b-b77c-b9e967725655.jpg,Batting Allrounder,12-05-1987,Right,Right
259,Cheteshwar Pujara,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3826,"Kolkata Knight Riders, Royal Challengers Bangalore, Punjab Kings",29,390,0,1,0,0.0,0,India,https://h.cricapi.com/img/players/34045340-2dab-4ef2-9a78-913298847e46.jpg,Batsman,25-01-1988,Right,Right
260,Ambati Rayudu,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4069,"Mumbai Indians, Chennai Super Kings",204,4348,1,22,0,0.0,0,India,https://h.cricapi.com/img/players/95e4705e-d7b3-4c5a-8cf9-b2176abe7019.jpg,Batsman,23-09-1985,Right,Right
261,Kemar Roach,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3611,Deccan Chargers,2,10,0,0,0,10.0,0,West Indies,https://h.cricapi.com/img/players/741dc66a-6029-4229-83d1-5ac4bef6235d.jpg,Bowler,30-06-1988,Right,Right
262,Rajagopal Sathish,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4049,"Mumbai Indians, Punjab Kings, Kolkata Knight Riders",34,270,0,0,3,10.01,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,14-01-1981,Right,Right
263,Owais Shah,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=2974,"Kolkata Knight Riders, Kochi Tuskers Kerala, Rajasthan Royals",23,506,0,4,0,0.0,0,England,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,22-10-1978,Right,Right
264,Rahul Sharma,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3923,"Deccan Chargers, Pune Warriors India, Delhi Capitals",44,66,0,0,40,7.02,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,20-07-1986,Right,Right
265,Reetinder Sodhi,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=2888,Punjab Kings,3,4,0,0,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batting Allrounder,18-10-1980,Right,Right
266,Sridharan Sriram,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=2893,"Royal Challengers Bangalore, Delhi Capitals",2,31,0,0,0,16.33,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,21-02-1976,Left,Left
267,Shalabh Srivastava,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4184,Punjab Kings,14,5,0,0,14,9.38,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,22-09-1981,Right,Left
268,Bodapati Sumanth,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4192,Deccan Chargers,5,35,0,0,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,10-05-1988,Right,Right
269,Shaun Tait,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3319,Rajasthan Royals,21,23,0,0,23,8.12,0,Australia,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,22-02-1983,Right,Right
270,Aditya Tare,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4072,"Mumbai Indians, Sunrisers Hyderabad, Delhi Capitals",35,339,0,1,0,0.0,0,India,https://h.cricapi.com/img/players/bbd7ff0f-f90d-4798-aba1-66efe2f28277.jpg,WK-Batsman,07-11-1987,Right,Right
271,Rusty Theron,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3824,"Punjab Kings, Deccan Chargers, Rajasthan Royals",10,10,0,0,9,8.14,0,United States,https://h.cricapi.com/img/players/3bdf8949-170b-48ad-a1bc-5544954b70d3.jpg,Bowler,24-07-1985,Right,Right
272,Jaydev Unadkat,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3838,"Kolkata Knight Riders, Royal Challengers Bangalore, Delhi Capitals, Rising Pune Supergiant, Rajasthan Royals, Mumbai Indians, Lucknow Super Giants",94,173,0,0,91,8.84,2,India,https://h.cricapi.com/img/players/f589d2a9-4e44-464d-9741-e224354a1370.jpg,Bowler,18-10-1991,Right,Left
273,Amit Uniyal,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4181,Rajasthan Royals,2,4,0,0,2,11.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,21-11-1981,Left,Right
274,Adam Voges,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3463,Rajasthan Royals,9,181,0,0,0,8.44,0,Australia,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,04-10-1979,Right,Left
275,Shrikant Wagh,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4088,"Rajasthan Royals, Pune Warriors India",8,2,0,0,5,8.06,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,09-10-1988,Left,Left
276,Umesh Yadav,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3786,"Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bangalore",141,196,0,0,136,8.44,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,20-07-1996,Right,Left
277,Varun Aaron,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3916,"Delhi Capitals, Royal Challengers Bangalore, Punjab Kings, Rajasthan Royals, Gujarat Titans",52,50,0,0,44,8.94,0,India,https://h.cricapi.com/img/players/da8aa9de-0193-4819-b56d-59ea944d194d.jpg,Bowler,29-10-1989,Right,Right
278,Mayank Agarwal,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4104,"Royal Challengers Bangalore, Delhi Capitals, Rising Pune Supergiant, Punjab Kings, Sunrisers Hyderabad",123,2597,1,13,0,0.0,0,India,https://h.cricapi.com/img/players/b2919aba-b8de-4844-bced-26b30bbe9c6d.jpg,Batsman,16-02-1991,Right,Right
